"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"17-Nov-2023","EQ","5,332.20","5,493.35","5,306.15","5,338.75","5,485.00","5,478.95","5,443.61","5,493.35","4,123.00","7,35,541","4,00,39,99,676.80","69,714"
"16-Nov-2023","EQ","5,224.00","5,368.00","5,201.75","5,224.95","5,332.20","5,338.75","5,305.38","5,368.00","4,123.00","4,49,045","2,38,23,55,864.00","60,107"
"15-Nov-2023","EQ","5,283.85","5,295.00","5,207.00","5,220.65","5,227.00","5,224.95","5,229.88","5,364.00","4,123.00","3,56,675","1,86,53,66,368.90","49,934"
"13-Nov-2023","EQ","5,250.00","5,279.00","5,200.20","5,275.55","5,223.00","5,220.65","5,227.28","5,364.00","4,123.00","1,50,128","78,47,61,334.70","19,113"
"12-Nov-2023","EQ","5,300.00","5,300.00","5,265.00","5,278.50","5,274.00","5,275.55","5,278.00","5,364.00","4,123.00","18,707","9,87,35,615.15","2,975"
"10-Nov-2023","EQ","5,300.00","5,338.00","5,218.65","5,297.60","5,261.80","5,278.50","5,271.80","5,364.00","4,123.00","6,96,409","3,67,13,32,027.85","62,330"
"09-Nov-2023","EQ","5,147.50","5,313.00","5,122.05","5,110.95","5,300.00","5,297.60","5,234.16","5,364.00","4,123.00","10,32,216","5,40,27,87,033.60","1,04,845"
"08-Nov-2023","EQ","5,135.00","5,153.65","5,087.45","5,136.85","5,116.05","5,110.95","5,115.58","5,364.00","4,123.00","4,00,498","2,04,87,79,260.75","33,535"
"07-Nov-2023","EQ","5,150.00","5,181.95","5,121.05","5,164.95","5,135.00","5,136.85","5,139.04","5,364.00","4,123.00","2,22,204","1,14,19,14,978.25","25,605"
"06-Nov-2023","EQ","5,141.05","5,228.00","5,127.50","5,153.20","5,157.95","5,164.95","5,180.95","5,364.00","4,123.00","3,99,720","2,07,09,30,628.00","33,744"
"03-Nov-2023","EQ","4,950.75","5,165.50","4,937.05","4,887.00","5,148.00","5,153.20","5,109.22","5,364.00","4,123.00","12,62,458","6,45,01,78,059.10","97,934"
"02-Nov-2023","EQ","4,837.80","4,895.00","4,810.20","4,796.55","4,890.00","4,887.00","4,869.98","5,364.00","4,123.00","2,14,035","1,04,23,47,044.50","35,546"
"01-Nov-2023","EQ","4,835.00","4,856.00","4,790.00","4,819.90","4,807.65","4,796.55","4,823.78","5,364.00","4,123.00","2,81,746","1,35,90,80,998.30","34,297"
"31-Oct-2023","EQ","4,832.00","4,899.65","4,805.20","4,841.75","4,842.00","4,819.90","4,844.09","5,364.00","4,123.00","2,76,660","1,34,01,65,932.00","42,829"
"30-Oct-2023","EQ","4,840.00","4,868.40","4,783.05","4,830.20","4,842.00","4,841.75","4,834.53","5,364.00","4,123.00","2,34,759","1,13,49,49,776.60","27,230"
"27-Oct-2023","EQ","4,779.95","4,860.55","4,776.80","4,760.30","4,835.10","4,830.20","4,839.40","5,364.00","4,123.00","3,33,727","1,61,50,39,231.65","38,788"
"26-Oct-2023","EQ","4,859.90","4,859.90","4,726.00","4,859.90","4,770.00","4,760.30","4,772.54","5,364.00","4,123.00","8,36,962","3,99,44,31,849.15","93,036"
"25-Oct-2023","EQ","4,960.00","4,971.35","4,831.50","4,969.55","4,850.00","4,859.90","4,893.48","5,364.00","4,123.00","8,94,230","4,37,58,96,869.40","60,019"
"23-Oct-2023","EQ","4,977.00","5,010.55","4,944.15","4,977.55","4,970.00","4,969.55","4,982.64","5,364.00","4,123.00","3,63,474","1,81,10,61,584.90","31,960"
"20-Oct-2023","EQ","4,990.10","4,999.95","4,940.50","4,997.05","4,952.00","4,977.55","4,968.95","5,364.00","4,123.00","2,52,447","1,25,43,96,498.65","32,126"
"19-Oct-2023","EQ","4,977.25","5,019.95","4,935.15","4,977.25","4,979.90","4,997.05","4,988.22","5,364.00","4,123.00","2,31,958","1,15,70,57,022.45","47,935"
"18-Oct-2023","EQ","5,021.00","5,039.95","4,938.45","5,028.80","4,979.00","4,977.25","4,981.33","5,364.00","4,123.00","3,41,459","1,70,09,21,613.25","46,628"
"17-Oct-2023","EQ","5,050.00","5,068.00","5,012.20","5,021.70","5,026.95","5,028.80","5,037.48","5,364.00","4,123.00","2,17,907","1,09,77,02,349.20","34,996"
"16-Oct-2023","EQ","5,030.00","5,049.45","4,986.40","5,017.30","5,021.00","5,021.70","5,026.94","5,364.00","4,123.00","2,59,806","1,30,60,28,157.90","28,052"
"13-Oct-2023","EQ","4,988.95","5,029.10","4,933.75","4,993.85","5,017.00","5,017.30","4,982.95","5,364.00","4,123.00","4,10,013","2,04,30,72,444.90","50,074"
"12-Oct-2023","EQ","5,092.80","5,113.95","4,871.70","5,092.85","4,995.05","4,993.85","4,992.58","5,364.00","4,123.00","10,29,595","5,14,03,34,529.25","84,907"
"11-Oct-2023","EQ","5,072.95","5,140.00","5,065.00","5,066.70","5,083.00","5,092.85","5,114.96","5,364.00","4,123.00","3,36,099","1,71,91,34,318.90","45,211"
"10-Oct-2023","EQ","5,068.95","5,084.55","5,033.00","5,047.30","5,063.95","5,066.70","5,061.59","5,364.00","4,123.00","2,02,645","1,02,57,06,292.15","20,450"
"09-Oct-2023","EQ","5,000.00","5,066.00","4,987.05","5,060.25","5,040.00","5,047.30","5,039.35","5,364.00","4,123.00","1,76,296","88,84,17,690.85","20,059"
"06-Oct-2023","EQ","5,050.00","5,084.00","5,028.80","5,047.05","5,059.00","5,060.25","5,050.69","5,364.00","4,123.00","4,07,753","2,05,94,34,022.55","42,474"
"05-Oct-2023","EQ","5,054.95","5,079.85","5,026.65","5,047.40","5,040.50","5,047.05","5,054.27","5,364.00","4,123.00","3,63,289","1,83,61,60,999.50","46,044"
"04-Oct-2023","EQ","5,085.00","5,096.85","4,982.30","5,118.95","5,048.20","5,047.40","5,037.27","5,364.00","4,123.00","4,42,482","2,22,89,03,337.25","53,537"
"03-Oct-2023","EQ","5,138.95","5,154.95","5,066.00","5,137.75","5,111.00","5,118.95","5,117.89","5,364.00","4,123.00","2,68,482","1,37,40,60,025.70","42,505"
"29-Sep-2023","EQ","5,054.00","5,186.95","5,026.60","5,020.10","5,144.95","5,137.75","5,137.95","5,364.00","4,123.00","4,10,567","2,10,94,74,109.70","40,082"
"28-Sep-2023","EQ","5,105.35","5,145.50","4,995.00","5,105.35","5,037.05","5,020.10","5,079.46","5,364.00","4,123.00","4,07,714","2,07,09,65,731.35","44,227"
"27-Sep-2023","EQ","5,054.00","5,118.85","5,020.00","5,053.70","5,105.00","5,105.35","5,087.49","5,364.00","4,123.00","4,60,768","2,34,41,50,940.75","42,762"
"26-Sep-2023","EQ","5,097.00","5,097.00","5,030.25","5,097.05","5,050.00","5,053.70","5,061.87","5,364.00","4,123.00","2,67,102","1,35,20,36,788.35","44,448"
"25-Sep-2023","EQ","5,014.90","5,113.45","4,972.85","4,989.55","5,087.20","5,097.05","5,064.45","5,364.00","4,123.00","3,86,746","1,95,86,54,967.90","39,115"
"22-Sep-2023","EQ","5,013.00","5,016.80","4,955.00","5,020.05","4,999.20","4,989.55","4,989.37","5,364.00","4,123.00","3,48,459","1,73,85,89,320.00","26,733"
"21-Sep-2023","EQ","4,990.00","5,046.95","4,975.45","5,006.30","5,020.00","5,020.05","5,010.43","5,364.00","4,123.00","4,22,586","2,11,73,35,753.45","42,775"
"20-Sep-2023","EQ","5,051.45","5,059.80","4,929.00","5,075.15","4,998.00","5,006.30","4,981.58","5,364.00","4,123.00","5,09,910","2,54,01,59,696.70","51,496"
"18-Sep-2023","EQ","5,100.00","5,162.00","5,067.35","5,091.80","5,081.00","5,075.15","5,112.92","5,364.00","4,123.00","3,71,912","1,90,15,54,963.80","33,864"
"15-Sep-2023","EQ","5,084.55","5,150.40","5,061.70","5,084.55","5,100.00","5,091.80","5,107.56","5,364.00","4,123.00","6,58,355","3,36,25,86,030.75","44,838"
"14-Sep-2023","EQ","5,001.00","5,100.00","4,995.50","5,011.00","5,086.05","5,084.55","5,070.64","5,364.00","4,123.00","4,14,391","2,10,12,27,075.05","48,918"
"13-Sep-2023","EQ","4,975.00","5,021.20","4,945.00","4,979.20","5,021.20","5,011.00","4,994.82","5,364.00","4,123.00","2,32,238","1,15,99,86,435.30","28,528"
"12-Sep-2023","EQ","5,111.00","5,125.00","4,966.00","5,095.95","4,980.00","4,979.20","5,009.95","5,364.00","4,123.00","4,83,061","2,42,01,13,749.05","50,922"
"11-Sep-2023","EQ","5,004.00","5,106.80","5,003.75","4,985.15","5,094.40","5,095.95","5,083.75","5,364.00","4,123.00","5,43,287","2,76,19,37,738.65","50,756"
"08-Sep-2023","EQ","5,040.00","5,049.80","4,977.95","5,029.05","4,988.00","4,985.15","4,997.56","5,364.00","4,123.00","2,92,671","1,46,26,42,145.75","25,431"
"07-Sep-2023","EQ","5,029.95","5,044.90","4,987.00","5,033.10","5,029.00","5,029.05","5,016.12","5,364.00","4,123.00","3,34,709","1,67,89,39,479.10","37,333"
"06-Sep-2023","EQ","4,980.00","5,043.65","4,954.00","4,984.50","5,021.05","5,033.10","5,003.69","5,364.00","4,123.00","5,35,407","2,67,90,11,598.20","47,257"
"05-Sep-2023","EQ","4,860.00","4,992.00","4,832.05","4,824.85","4,980.00","4,984.50","4,950.52","5,364.00","4,123.00","8,00,554","3,96,31,55,966.80","64,545"
"04-Sep-2023","EQ","4,860.00","4,870.00","4,817.60","4,840.35","4,832.90","4,824.85","4,830.14","5,364.00","4,123.00","3,54,446","1,71,20,22,353.25","21,306"
"01-Sep-2023","EQ","4,840.00","4,849.95","4,801.20","4,814.10","4,842.00","4,840.35","4,825.74","5,364.00","4,086.00","2,06,097","99,45,69,729.25","24,440"
