"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"17-Nov-2023","EQ","3,150.00","3,228.25","3,145.65","3,130.30","3,167.00","3,168.90","3,196.91","3,568.00","2,685.85","14,30,175","4,57,21,43,138.90","1,11,559"
"16-Nov-2023","EQ","3,119.00","3,140.90","3,097.60","3,116.20","3,131.10","3,130.30","3,125.99","3,568.00","2,685.85","6,75,454","2,11,14,63,858.05","70,056"
"15-Nov-2023","EQ","3,085.70","3,118.85","3,078.70","3,085.60","3,115.80","3,116.20","3,101.22","3,568.00","2,685.85","7,00,017","2,17,09,06,897.20","64,696"
"13-Nov-2023","EQ","3,098.00","3,098.00","3,065.00","3,098.15","3,083.00","3,085.60","3,079.60","3,568.00","2,685.85","4,05,941","1,25,01,34,113.50","38,458"
"12-Nov-2023","EQ","3,099.95","3,100.00","3,090.00","3,076.45","3,099.50","3,098.15","3,097.92","3,568.00","2,685.85","85,178","26,38,74,727.45","14,342"
"10-Nov-2023","EQ","3,070.00","3,085.00","3,040.10","3,080.20","3,080.00","3,076.45","3,063.01","3,568.00","2,685.85","3,64,232","1,11,56,47,633.35","40,004"
"09-Nov-2023","EQ","3,100.00","3,111.40","3,074.05","3,095.25","3,080.00","3,080.20","3,092.43","3,568.00","2,685.85","8,49,702","2,62,76,43,628.10","69,891"
"08-Nov-2023","EQ","3,058.00","3,098.95","3,046.20","3,033.35","3,098.00","3,095.25","3,081.68","3,568.00","2,685.85","7,83,400","2,41,41,88,986.50","62,335"
"07-Nov-2023","EQ","3,029.30","3,038.95","3,002.20","3,029.30","3,038.00","3,033.35","3,022.80","3,568.00","2,685.85","7,57,998","2,29,12,79,142.50","58,294"
"06-Nov-2023","EQ","2,998.00","3,034.05","2,983.85","2,977.85","3,029.70","3,029.30","3,014.43","3,568.00","2,685.85","6,20,959","1,87,18,38,596.55","62,963"
