"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"17-Nov-2023","EQ","3,339.00","3,366.00","3,326.70","3,335.95","3,337.50","3,338.85","3,346.39","3,366.00","2,269.60","6,33,405","2,11,96,18,757.05","56,251"
"16-Nov-2023","EQ","3,295.40","3,358.00","3,259.25","3,295.95","3,335.35","3,335.95","3,319.30","3,358.00","2,269.60","10,55,389","3,50,31,55,748.40","79,457"
"15-Nov-2023","EQ","3,275.25","3,300.90","3,260.75","3,264.75","3,295.40","3,295.95","3,283.54","3,352.00","2,269.60","7,47,863","2,45,56,41,716.70","58,772"
"13-Nov-2023","EQ","3,275.00","3,278.35","3,250.60","3,280.60","3,265.90","3,264.75","3,263.02","3,352.00","2,269.60","2,75,538","89,90,87,265.25","35,857"
"12-Nov-2023","EQ","3,300.00","3,320.00","3,265.00","3,256.35","3,281.95","3,280.60","3,282.02","3,352.00","2,269.60","2,04,514","67,12,18,486.40","21,534"
"10-Nov-2023","EQ","3,263.05","3,274.95","3,223.00","3,283.75","3,260.15","3,256.35","3,240.29","3,352.00","2,269.60","11,70,763","3,79,36,10,796.00","60,136"
"09-Nov-2023","EQ","3,320.95","3,320.95","3,274.65","3,311.85","3,285.00","3,283.75","3,291.41","3,352.00","2,269.60","13,17,398","4,33,60,97,352.30","74,676"
"08-Nov-2023","EQ","3,289.00","3,323.80","3,272.20","3,270.20","3,311.80","3,311.85","3,305.40","3,352.00","2,269.60","6,32,305","2,09,00,20,924.95","60,075"
"07-Nov-2023","EQ","3,274.00","3,286.45","3,250.20","3,267.05","3,270.85","3,270.20","3,273.49","3,352.00","2,269.60","4,33,992","1,42,06,66,704.30","47,303"
"06-Nov-2023","EQ","3,310.00","3,310.00","3,245.30","3,274.50","3,269.80","3,267.05","3,269.60","3,352.00","2,269.60","11,37,606","3,71,95,14,893.95","92,757"
"03-Nov-2023","EQ","3,205.15","3,288.00","3,205.05","3,201.50","3,277.00","3,274.50","3,258.61","3,352.00","2,269.60","13,55,614","4,41,74,19,165.55","1,00,540"
"02-Nov-2023","EQ","3,200.00","3,228.50","3,180.00","3,173.40","3,208.95","3,201.50","3,200.03","3,352.00","2,269.60","7,74,180","2,47,73,99,163.80","73,593"
"01-Nov-2023","EQ","3,193.85","3,212.90","3,168.35","3,189.65","3,171.15","3,173.40","3,188.18","3,352.00","2,269.60","7,56,820","2,41,28,78,354.80","71,026"
"31-Oct-2023","EQ","3,119.60","3,205.80","3,087.85","3,116.45","3,194.00","3,189.65","3,150.09","3,352.00","2,269.60","12,35,478","3,89,18,62,250.10","86,359"
"30-Oct-2023","EQ","3,105.00","3,121.95","3,075.00","3,120.70","3,120.00","3,116.45","3,099.81","3,352.00","2,269.60","8,02,316","2,48,70,27,860.15","67,822"
"27-Oct-2023","EQ","3,095.10","3,138.75","3,087.25","3,100.80","3,120.00","3,120.70","3,118.26","3,352.00","2,269.60","10,50,608","3,27,60,66,489.55","82,521"
"26-Oct-2023","EQ","3,160.35","3,189.90","3,092.05","3,187.85","3,106.00","3,100.80","3,127.11","3,352.00","2,269.60","11,24,281","3,51,57,47,276.70","1,10,937"
"25-Oct-2023","EQ","3,216.00","3,236.30","3,179.00","3,219.75","3,190.00","3,187.85","3,208.21","3,352.00","2,269.60","7,62,466","2,44,61,50,986.80","81,178"
"23-Oct-2023","EQ","3,246.20","3,274.95","3,209.70","3,266.20","3,219.95","3,219.75","3,241.11","3,352.00","2,269.60","5,66,920","1,83,74,51,847.35","43,684"
"20-Oct-2023","EQ","3,272.65","3,291.50","3,244.00","3,284.65","3,260.00","3,266.20","3,264.55","3,352.00","2,269.60","6,57,550","2,14,66,05,004.50","72,746"
"19-Oct-2023","EQ","3,270.00","3,300.95","3,239.00","3,282.75","3,285.00","3,284.65","3,273.34","3,352.00","2,269.60","6,98,767","2,28,72,98,638.80","95,620"
"18-Oct-2023","EQ","3,309.20","3,324.15","3,277.50","3,308.45","3,283.50","3,282.75","3,295.91","3,352.00","2,269.60","3,24,535","1,06,96,37,017.85","40,720"
"17-Oct-2023","EQ","3,317.95","3,328.45","3,304.10","3,301.40","3,312.00","3,308.45","3,312.35","3,352.00","2,269.60","5,84,625","1,93,64,82,356.10","58,713"
"16-Oct-2023","EQ","3,284.00","3,329.00","3,275.00","3,283.75","3,303.50","3,301.40","3,309.45","3,352.00","2,269.60","7,78,014","2,57,48,02,085.70","64,806"
"13-Oct-2023","EQ","3,285.00","3,307.00","3,266.55","3,285.00","3,284.00","3,283.75","3,285.32","3,352.00","2,269.60","9,20,545","3,02,42,83,674.70","81,259"
"12-Oct-2023","EQ","3,292.00","3,295.05","3,262.60","3,280.50","3,288.00","3,285.00","3,278.14","3,352.00","2,269.60","4,29,096","1,40,66,36,776.35","49,752"
"11-Oct-2023","EQ","3,289.70","3,296.00","3,264.00","3,269.20","3,282.00","3,280.50","3,280.21","3,352.00","2,269.60","5,46,575","1,79,28,78,348.65","57,766"
"10-Oct-2023","EQ","3,295.00","3,299.20","3,259.30","3,267.50","3,265.95","3,269.20","3,276.90","3,352.00","2,269.60","6,33,934","2,07,73,39,135.45","72,103"
"09-Oct-2023","EQ","3,294.70","3,296.00","3,249.05","3,309.75","3,265.00","3,267.50","3,271.70","3,352.00","2,269.60","8,22,467","2,69,08,64,915.05","80,152"
"06-Oct-2023","EQ","3,230.00","3,319.80","3,221.10","3,216.50","3,305.20","3,309.75","3,280.22","3,352.00","2,269.60","11,02,120","3,61,52,00,555.15","1,01,454"
"05-Oct-2023","EQ","3,173.90","3,231.00","3,165.00","3,166.65","3,218.65","3,216.50","3,214.82","3,352.00","2,269.60","11,09,881","3,56,80,71,705.25","1,02,627"
"04-Oct-2023","EQ","3,186.00","3,205.00","3,151.00","3,196.25","3,168.00","3,166.65","3,169.01","3,352.00","2,269.60","4,86,969","1,54,32,10,373.50","62,789"
"03-Oct-2023","EQ","3,148.80","3,212.50","3,114.40","3,148.80","3,191.00","3,196.25","3,180.93","3,352.00","2,269.60","10,07,308","3,20,41,72,348.30","83,887"
"29-Sep-2023","EQ","3,160.05","3,176.45","3,143.05","3,157.25","3,148.80","3,148.80","3,156.54","3,352.00","2,269.60","6,97,564","2,20,18,86,709.25","65,106"
"28-Sep-2023","EQ","3,217.50","3,224.90","3,141.75","3,214.55","3,174.75","3,157.25","3,173.58","3,352.00","2,269.60","12,14,383","3,85,39,46,155.10","1,02,705"
"27-Sep-2023","EQ","3,246.80","3,266.95","3,186.00","3,262.60","3,217.50","3,214.55","3,222.12","3,352.00","2,269.60","14,64,192","4,71,77,96,793.35","87,732"
"26-Sep-2023","EQ","3,294.00","3,308.00","3,255.00","3,283.95","3,259.00","3,262.60","3,274.87","3,352.00","2,269.60","10,54,827","3,45,44,16,561.30","60,452"
"25-Sep-2023","EQ","3,274.50","3,314.90","3,261.35","3,274.50","3,275.05","3,283.95","3,292.58","3,352.00","2,269.60","6,23,515","2,05,29,72,035.80","53,261"
"22-Sep-2023","EQ","3,298.80","3,298.80","3,261.70","3,304.50","3,284.85","3,274.50","3,271.63","3,352.00","2,269.60","10,19,051","3,33,39,61,546.80","68,160"
"21-Sep-2023","EQ","3,300.00","3,322.50","3,285.80","3,306.65","3,309.95","3,304.50","3,298.89","3,352.00","2,269.60","10,91,384","3,60,03,50,381.55","83,767"
"20-Sep-2023","EQ","3,314.00","3,349.00","3,300.05","3,339.50","3,310.05","3,306.65","3,324.20","3,352.00","2,269.60","12,01,025","3,99,24,44,888.60","68,988"
"18-Sep-2023","EQ","3,257.00","3,352.00","3,246.80","3,248.60","3,335.00","3,339.50","3,320.22","3,352.00","2,269.60","14,23,507","4,72,63,54,122.40","90,061"
"15-Sep-2023","EQ","3,261.60","3,264.00","3,239.00","3,261.35","3,245.00","3,248.60","3,248.79","3,302.45","2,269.60","13,97,407","4,53,98,85,099.25","77,309"
"14-Sep-2023","EQ","3,277.55","3,302.45","3,240.00","3,263.20","3,258.00","3,261.35","3,265.49","3,302.45","2,269.60","12,64,935","4,13,06,34,062.35","89,504"
"13-Sep-2023","EQ","3,178.05","3,270.00","3,178.05","3,185.80","3,261.00","3,263.20","3,234.59","3,270.00","2,269.60","13,70,306","4,43,23,75,341.55","1,07,088"
"12-Sep-2023","EQ","3,216.05","3,221.15","3,177.60","3,213.30","3,183.00","3,185.80","3,193.30","3,221.55","2,269.60","5,91,509","1,88,88,64,791.00","58,286"
"11-Sep-2023","EQ","3,209.95","3,221.55","3,186.60","3,199.10","3,208.00","3,213.30","3,210.29","3,221.55","2,269.60","5,44,452","1,74,78,48,372.15","48,307"
